Class,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Result
T207,18249.74375,12983.87014,10967.42092,9663.598833,9448.524937,9166.850997,9928.574889,9810.400203,9188.85274,8343.403207,1000.589652,978.2070768,910.5229458,924.362386,815.6176151,757.6134006,751.0745216,604.6222027,589.8231905,531.2430084,N
T208,2100.423139,1832.65924,2077.029086,1514.902727,1161.084262,1066.48101,1167.147656,837.9370163,857.2312294,690.1612874,175.7141566,227.9271762,168.2626322,177.3334991,170.2419868,192.8468485,157.7128225,136.3875141,141.4178462,147.4602755,N
T209,1282.034907,991.6736298,1001.572603,1135.874846,1117.083983,987.752561,648.9243011,531.0300907,522.6085022,451.0258735,157.747744,143.5299746,142.7410188,128.6245024,129.9746177,124.0175304,110.7506652,101.4069858,102.2001706,86.41859894,N
T210,1296.956479,1111.16253,1206.686816,782.4360774,1159.478411,1073.095691,699.7570869,665.6853834,630.5219645,907.9393418,223.2087914,215.1680833,191.0483225,178.0283861,188.2306198,146.8927663,127.0462422,128.8878839,127.9061972,101.6341571,N
T211,5427.800557,2903.974134,1942.003387,1461.386475,2355.450516,1305.947366,1081.374319,1027.014941,891.7706856,829.0555275,132.5428424,154.6851776,121.2431626,142.8754314,119.5610081,112.3344201,108.4764596,92.10355175,96.34001892,114.1517245,N
T212,1561.990018,1771.714042,1618.220686,2616.043553,3204.892552,2738.045389,2145.703788,1550.077932,1670.420057,1132.252241,97.19316679,91.83803097,92.59480251,85.36172415,78.99068543,77.32850893,69.67698527,61.0122305,57.69214801,59.82423862,N
T213,3229.20691,3391.328284,3488.409895,3210.460533,2960.882627,2988.66398,2786.746087,3006.417389,2821.128856,2038.164089,231.9615786,243.8051127,165.5351755,248.4557461,221.6624105,176.4839471,165.8843503,184.0129061,171.955383,204.2509301,N
T56,600.093637,485.9508262,453.2746096,430.4174476,346.504012,319.4700188,302.206199,307.3590721,254.6648076,222.3761972,50.29392727,47.6072066,50.05673505,41.18668351,42.45985012,40.97116318,35.44434597,33.89409465,32.3100731,33.60340805,E
T57,1320.701244,2819.310696,913.4638382,599.9912622,575.9357436,1081.886254,1280.457523,739.7163017,445.2145004,367.837433,55.7017926,55.2026945,72.72961213,73.98524498,95.87487999,417.3303937,148.9754933,52.8652118,37.36446991,35.16128701,E
T58,708.2554409,513.6905366,436.6705995,359.8305541,379.3850617,334.5515143,298.1816399,276.815168,274.0622257,249.6092036,54.90802455,52.46199361,51.33669516,41.45526939,42.61493985,39.14255035,38.13432002,35.252488,34.62332835,32.6541781,E
T59,784.4956866,949.9357738,706.5792571,567.7875476,516.3902524,444.4095239,438.3251607,330.6952239,283.3679635,280.3930787,55.60781417,50.94715542,59.13662791,60.96774064,79.62874037,277.490017,115.1322516,48.97434772,40.56038071,37.41887135,E
T60,901.7988419,1993.133907,609.4484524,426.6867709,430.4846827,787.8942014,598.4678301,366.7527316,300.0410959,262.1205961,47.48257142,46.17713959,53.3607626,55.8371214,70.38105796,372.980473,118.5536173,45.36384096,35.33136334,32.67673452,E
T61,2171.472535,1779.166761,1246.926998,1224.084473,1342.278938,1308.248366,807.2696106,700.3501301,555.8544337,508.8771071,91.12750382,81.52559437,73.9069245,65.36385843,69.66238953,129.997843,73.99801427,52.69141555,49.850037,46.06576853,E
T62,3689.082294,5439.459646,3298.450274,3148.110755,2387.815445,1915.540388,1254.807982,883.3043571,1043.030241,1007.32725,74.88950555,69.74832154,98.84573703,133.0199852,157.5410897,491.9234233,395.3695875,186.5904396,78.24655057,65.83065838,E
T64,2288.453311,3203.253939,1570.61773,1188.117413,1335.484566,1376.321144,1424.637598,1013.583122,788.2172476,789.4421216,111.8410473,104.4597786,156.0669295,170.4046474,548.2499348,570.1176869,380.640218,158.9079749,86.37164034,77.10590965,E
T67,2464.863975,2399.68264,1422.061955,999.144569,1007.35066,1050.349165,1004.759044,689.9310242,521.7529102,457.0323677,62.54020007,58.39985021,96.69390009,75.10232376,108.9364239,242.3853263,147.0981895,82.44408074,55.74438394,47.50747994,E
T68,5851.904832,8486.610272,3605.853818,2396.276436,1872.77813,3094.233885,2963.30753,1393.063592,973.0201353,786.8748863,78.87257517,103.7779107,143.8510741,128.6937625,361.3387193,358.2563707,206.5836961,132.1995195,72.06094634,89.37534606,E
T69,4345.747512,4877.335347,2429.273147,1860.190711,1542.327295,2200.685888,1958.150375,1150.915544,808.9658376,697.9957868,105.686162,96.14187047,115.1515099,109.2911805,190.8794044,216.0749938,232.5683126,154.6684265,72.87903431,79.99179347,E
T70,2376.176857,1984.340581,1384.339717,816.1521425,855.8208222,1101.069247,813.8991245,482.2182216,543.2800668,481.3203589,64.91744156,65.45206802,66.08945545,69.52816887,120.1060286,90.40013801,82.42015013,56.66214425,47.99942285,43.68419559,E
T71,4352.874008,5180.608472,2050.006578,2491.628818,2199.677244,4218.125432,2877.301826,1435.937242,807.484939,787.9493144,84.30467449,106.7702401,156.151989,159.8063539,412.9120489,300.4434519,292.1744866,111.5409082,93.63287752,91.46439951,E
T72,1817.016186,2294.90363,1443.460504,992.6344395,889.4757949,959.0171508,960.5407192,774.3460819,604.1652082,469.3158895,77.37906884,73.62386057,89.66585245,83.73115381,116.8663416,216.1310977,137.3089893,85.56472531,61.03947274,56.9374966,E
T117,2644.293941,4028.263397,1324.136224,1228.627433,1245.179028,1851.180115,1422.772889,1237.031554,872.6380266,710.9187016,126.5070304,109.6894625,162.4111165,158.215441,400.9827404,710.2078025,279.971096,110.086649,91.27314131,79.18676308,E
T118,5779.119388,9903.531126,4116.837867,3088.451625,3036.383668,6168.54388,4500.37118,1968.662366,1184.189092,1133.234233,89.32332698,80.09486817,95.67594051,99.77909029,263.1087215,580.3009825,218.7163956,94.98462158,66.70431569,65.59218169,E
T119,1463.688407,2204.073047,1071.757107,774.2236338,944.9271405,1149.782156,1934.478897,703.9492803,532.4177573,399.1700289,73.37746508,82.07174907,141.0077466,135.9189465,260.6153659,641.7157447,276.1081635,121.4839859,78.13085439,62.4556969,E
T120,7365.778867,5831.810797,1868.80225,1692.641793,1758.574264,3903.751684,1742.879227,1035.243721,666.3776914,653.5121927,91.82664671,87.31581151,101.9305778,166.5201483,237.2558421,314.8115932,160.7174325,81.98744376,65.52960375,57.67443194,E
T121,6915.18862,13089.00706,4633.217864,3326.091661,3315.22608,3809.266961,3795.785808,2085.888041,1520.550709,1464.027555,148.3522412,148.9047865,199.6642376,149.6783315,164.1518064,263.76662,253.9305694,120.9690642,92.79974245,69.01361908,E
T122,5971.212573,8331.425864,3045.275346,1876.960457,1736.509149,4887.068295,4081.253652,2408.64078,1316.496699,1202.294382,103.471672,139.0056225,160.1902929,239.5550524,404.8250485,386.627019,477.67483,111.9567674,87.61689553,66.63007976,E
T123,3070.349828,5104.796102,2513.584231,1649.304647,1613.597959,3079.757147,2340.148903,1376.644926,875.2049597,560.3104114,78.55729756,87.38263502,160.6483167,145.9382299,283.7443833,616.7298362,362.0211414,167.7123278,80.48790315,79.14428015,E
T124,4295.317443,4909.797727,1929.879039,1864.628165,1407.459788,2256.402079,1800.318163,860.1770589,751.2751194,558.2437342,89.47382903,85.67128138,95.6290495,123.0472681,186.9284135,181.0775642,194.0467407,124.852256,60.90243965,63.03814749,E
T125,2645.785557,2869.958151,1387.211464,2237.037344,883.2798489,1408.261003,1031.748058,672.2732124,514.3352052,490.5533163,80.87458132,74.29045956,76.72588628,85.70547948,144.8960492,146.5847366,117.592674,64.53195021,52.22133368,49.31254538,E
T126,4260.787507,4977.367971,1705.286785,1770.844891,1124.445255,2296.426569,1638.088362,825.5193917,594.4583622,503.7868644,86.34921202,78.0592547,87.45138519,105.2306359,123.1985909,192.1835032,216.0794678,87.83347106,65.1476732,57.06918568,E
T127,7655.674306,11121.31691,3483.894507,1952.470796,1639.676467,3288.650992,2207.56271,1576.065511,1040.047238,783.3368146,98.88493384,125.0180292,147.1343669,165.179221,395.5948798,477.7544646,229.5888333,150.8837557,81.69275176,82.53290533,E
T128,8997.551221,28169.40656,5827.032402,4529.208392,3345.527988,5904.701892,4115.102697,1806.490832,990.5930207,870.2182672,117.0361243,132.1310034,146.6588245,145.5779578,324.5733634,310.8368902,348.1629208,146.7689827,93.89557569,104.1505386,E
T129,2677.163145,4109.325344,1853.249708,1546.820758,1075.542495,1665.792235,1770.987638,1016.078258,708.5262569,550.0079357,77.73543014,83.01673781,119.1149336,125.5941497,250.3494705,455.1042621,242.581858,125.2051262,79.73468795,62.0712722,E
T130,1932.103464,3428.401947,1059.150959,950.095047,825.2096073,2028.031584,2249.710461,954.8520838,615.7416406,583.0162,79.68458867,73.7309294,100.0433053,96.30850731,143.7341303,510.172367,154.7037767,60.41773547,49.53594817,43.26422655,E
