Spectrum Analyzer Data File				
2015/4/14 18:23				
				
Frequency (Hz)	Average Amplitude	Max Amplitude		
1787.255859	144.77116	224.17972		
1789.94751	118.16587	185.91823		
1792.63916	210.79059	249.0288		
1795.330811	217.07649	340.174		
1798.022461	197.41069	400.2532		
1800.714111	155.10341	254.60109		
1803.405762	133.91812	259.8337		
1806.097412	199.5958	359.11066		
1808.789063	152.50052	180.74657		
1811.480713	193.14603	280.93582		
1814.172363	112.73054	159.26457		
1816.864014	202.1739	266.1032		
1819.555664	184.7197	314.77744		
1822.247315	166.09781	263.7828		
1824.938965	208.8264	344.14728		
1827.630615	162.48613	256.15952		
1830.322266	208.30992	337.65295		
1833.013916	213.67157	303.34598		
1835.705566	143.27542	182.09459		
1838.397217	108.39752	177.04466		
1841.088867	182.66684	246.3762		
1843.780518	171.24683	252.21622		
1846.472168	248.39548	428.9894		
1849.163818	127.58516	259.30206		
1851.855469	114.92729	217.50322		
1854.547119	159.3012	236.49098		
1857.23877	152.97772	275.16318		
1859.93042	145.67792	249.55392		
1862.62207	183.29253	270.8667		
1865.313721	97.9114	177.90848		
1868.005371	141.91423	243.18623		
1870.697022	102.61536	159.66023		
1873.388672	216.38246	264.14893		
1876.080322	185.60689	357.46103		
1878.771973	196.8951	348.24503		
1881.463623	172.14488	249.5462		
1884.155273	272.00162	465.86813		
1886.846924	80.30543	188.95137		
1889.538574	214.43881	309.71735		
1892.230225	243.52145	351.8466		
1894.921875	136.31325	201.86266		
1897.613525	204.76744	434.08228		
1900.305176	189.41928	229.82065		
1902.996826	224.70929	292.48352		
1905.688477	97.14413	157.04886		
1908.380127	106.02586	146.17688		
1911.071777	232.94522	288.47107		
1913.763428	189.12392	384.2891		
1916.455078	143.44357	282.06024		
1919.146729	208.88278	386.63177		
1921.838379	197.51482	278.45047		
1924.530029	160.4058	266.41113		
1927.22168	85.11882	200.02013		
1929.91333	185.71289	282.89078		
1932.604981	141.5799	222.88663		
1935.296631	183.68555	241.8076		
1937.988281	215.42899	322.9051		
1940.679932	184.51205	312.77338		
1943.371582	139.59747	307.31836		
1946.063232	239.5719	326.55353		
1948.754883	144.66609	216.57434		
1951.446533	195.97461	271.3345		
1954.138184	235.71729	273.42896		
1956.829834	85.89945	174.30386		
1959.521484	127.25495	179.47453		
1962.213135	159.87024	404.26767		
1964.904785	81.43642	125.05105		
1967.596436	100.320076	169.6731		
1970.288086	163.11801	278.50555		
1972.979736	202.18208	243.53516		
1975.671387	146.92596	352.53543		
1978.363037	176.11339	325.31647		
1981.054688	198.41483	273.23114		
1983.746338	171.23123	285.04245		
1986.437988	136.0489	275.20148		
1989.129639	159.62056	172.83168		
1991.821289	156.55458	209.16878		
1994.51294	177.40068	229.681		
1997.20459	200.70287	273.4889		
1999.89624	127.67981	258.5524		
2002.587891	129.03772	182.04205		
2005.279541	157.82388	181.06577		
2007.971191	165.4664	205.87282		
2010.662842	222.84601	309.8322		
2013.354492	214.63902	270.7513		
2016.046143	181.02933	288.2073		
2018.737793	170.4045	279.02945		
2021.429443	106.84603	176.66782		
2024.121094	157.82935	195.53487		
2026.812744	135.6206	176.60086		
2029.504395	195.51389	275.62192		
2032.196045	151.26897	376.045		
2034.887695	129.07974	217.94476		
2037.579346	171.15529	216.24614		
2040.270996	214.45895	290.9929		
2042.962647	146.55884	221.14536		
2045.654297	151.91808	238.7279		
2048.345947	97.48002	173.23813		
2051.037598	115.52464	157.77441		
2053.729248	139.69167	163.53226		
2056.420898	140.69475	179.83138		
2059.112549	130.07451	186.48524		
2061.804199	105.44433	188.02118		
2064.49585	120.20558	244.211		
2067.1875	98.14045	137.3865		
2069.87915	119.50582	210.19388		
2072.570801	87.098175	115.92273		
2075.262451	189.87285	246.61038		
2077.954102	112.34243	171.34793		
2080.645752	201.65564	307.2525		
2083.337402	175.98616	315.13632		
2086.029053	149.10551	205.73798		
2088.720703	77.91955	150.32443		
2091.412354	141.69054	179.51678		
2094.104004	142.60318	236.79735		
2096.795654	143.74629	240.03554		
2099.487305	131.00385	235.05388		
2102.178955	224.9716	339.84964		
2104.870606	140.47372	197.02516		
2107.562256	157.22908	228.31699		
2110.253906	127.82045	218.51039		
2112.945557	89.01328	142.11546		
2115.637207	80.94411	149.7368		
2118.328857	112.60821	156.69151		
